gen: 316, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 317, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 318, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 319, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 320, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 321, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 322, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 323, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 324, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 325, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 326, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
