constructing 9 ConvTransformerEncoderLayers
gen: 384, avg: -15.537909051895141, std: 0.02083006420198156
gen: 385, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 386, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 387, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 388, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 389, avg: -15.53803224658966, std: 0.02633812091646946
gen: 390, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 391, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 392, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 393, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 394, avg: -15.537737301826477, std: 0.013151088046597979
gen: 395, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 396, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 397, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 398, avg: -15.537782454490662, std: 0.015169871705515838
gen: 399, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 400, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 401, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 402, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 403, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 404, avg: -15.537530256271362, std: 0.0038940441559671387
gen: 405, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 406, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 407, avg: -15.53793207836151, std: 0.02185958161138782
gen: 408, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 409, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 410, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 411, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 412, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 413, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 414, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 415, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 416, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 417, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 418, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 419, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 420, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 421, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 422, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 423, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 424, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 425, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 426, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 427, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 428, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 429, avg: -15.537443161010742, std: 1.8390713477780237e-06
